EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
60,0,0,0
60,0,0,0
6.88018,0,0,0
2.21854,0,0,0
9.10628,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.29262,0,0,0
2.80844,0,0,0
1.72771,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
7.76592,0,0,0
10.7449,0,0,0
1.41443,0,0,0
3.48414,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.639384,0,0,0
60,0,0,0
1.23617,0,0,0
5.59847,0,0,0
60,0,0,0
7.61838,0,0,0
60,0,0,0
60,0,0,0
9.35844,0,0,0
8.58002,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
7.49881,0,0,0
10.2218,0,0,0
7.71352,0,0,0
60,0,0,0
60,0,0,0
4.83324,0,0,0
4.39842,0,0,0
60,0,0,0
3.20391,0,0,0
8.80884,0,0,0
10.9112,0,0,0
9.76903,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.64102,0,0,0
60,0,0,0
6.21492,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
4.68076,0,0,0
60,0,0,0
0.763649,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
6.21947,0,0,0
9.25185,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.0672,0,0,0
60,0,0,0
60,0,0,0
6.98206,0,0,0
6.83103,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.69042,0,0,0
1.93277,0,0,0
60,0,0,0
60,0,0,0
1.89307,0,0,0
60,0,0,0
60,0,0,0
6.57735,0,0,0
60,0,0,0
10.3136,0,0,0
0.30474,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
7.95347,0,0,0
1.13836,0,0,0
60,0,0,0
5.96492,0,0,0
0.100398,0,0,0
60,0,0,0
60,0,0,0
4.06951,0,0,0
9.06815,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
1.48607,0,0,0
60,0,0,0
7.64335,0,0,0
9.95025,0,0,0
60,0,0,0
60,0,0,0
3.60466,0,0,0
60,0,0,0
7.25872,0,0,0
60,0,0,0
1.61183,0,0,0
7.54417,0,0,0
60,0,0,0
60,0,0,0
11.3379,0,0,0
9.20748,0,0,0
60,0,0,0
5.9087,0,0,0
2.42088,0,0,0
10.1956,0,0,0
3.58369,0,0,0
60,0,0,0
60,0,0,0
0.158298,0,0,0
60,0,0,0
60,0,0,0
2.50989,0,0,0
0.759036,0,0,0
60,0,0,0
36.9483,0,0,0
8.01436,0,0,0
60,0,0,0
60,0,0,0
26.8975,0,0,0
46.6758,0,0,0
60,0,0,0
7.43217,0,0,0
0.6675,0,0,0
7.52138,0,0,0
60,0,0,0
7.43809,0,0,0
9.54101,0,0,0
60,0,0,0
60,0,0,0
2.04818,0,0,0
60,0,0,0
60,0,0,0
11.3489,0,0,0
9.10842,0,0,0
8.39082,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
4.8118,0,0,0
60,0,0,0
3.67743,0,0,0
7.69681,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
6.91456,0,0,0
9.70395,0,0,0
2.41823,0,0,0
60,0,0,0
1.64728,0,0,0
1.48017,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
5.81792,0,0,0
3.47309,0,0,0
0.77326,0,0,0
60,0,0,0
60,0,0,0
14.033,0,0,0
60,0,0,0
5.9145,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.707336,0,0,0
10.0613,0,0,0
10.0305,0,0,0
6.79576,0,0,0
0.458118,0,0,0
60,0,0,0
60,0,0,0
0.561138,0,0,0
60,0,0,0
2.08224,0,0,0
60,0,0,0
3.50383,0,0,0
5.25108,0,0,0
60,0,0,0
8.68358,0,0,0
60,0,0,0
8.63652,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.869215,0,0,0
60,0,0,0
4.1447,0,0,0
60,0,0,0
60,0,0,0
4.24617,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.599399,0,0,0
60,0,0,0
8.85838,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
22.7695,0,0,0
4.20332,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.08568,0,0,0
60,0,0,0
3.32607,0,0,0
60,0,0,0
6.37804,0,0,0
60,0,0,0
60,0,0,0
10.5379,0,0,0
60,0,0,0
10.4131,0,0,0
0.22673,0,0,0
60,0,0,0
7.23852,0,0,0
6.72675,0,0,0
2.34553,0,0,0
0.870832,0,0,0
60,0,0,0
60,0,0,0
9.06975,0,0,0
60,0,0,0
7.48681,0,0,0
