EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
190.935,0,0,0
54.9061,0,0,0
45.9783,0,0,0
78.9723,0,0,0
14.2876,0,0,0
67.0829,0,0,0
19.3877,0,0,0
13.0837,0,0,0
8.02377,0,0,0
53.5863,0,0,0
65.4371,0,0,0
3.53568,0,0,0
130.236,0,0,0
14.6562,0,0,0
86.8318,0,0,0
20.9556,0,0,0
7.36637,0,0,0
180.558,0,0,0
40.2899,0,0,0
93.086,0,0,0
130.154,0,0,0
86.7729,0,0,0
78.182,0,0,0
57.8356,0,0,0
134.959,0,0,0
63.0227,0,0,0
49.7798,0,0,0
76.4529,0,0,0
517.034,0,0,0
59.1754,0,0,0
120.362,0,0,0
105.729,0,0,0
119.984,0,0,0
522.002,0,0,0
45.6928,0,0,0
92.1362,0,0,0
37.6686,0,0,0
154.842,0,0,0
364.463,0,0,0
55.4834,0,0,0
27.0627,0,0,0
287.307,0,0,0
2.09616,0,0,0
58.9591,0,0,0
44.6267,0,0,0
111.356,0,0,0
398.46,0,0,0
19.3713,0,0,0
121.284,0,0,0
235.127,0,0,0
40.1262,0,0,0
11.6858,0,0,0
38.8904,0,0,0
61.2469,0,0,0
92.7836,0,0,0
99.8657,0,0,0
84.7636,0,0,0
6.24077,0,0,0
16.9514,0,0,0
23.7714,0,0,0
48.2412,0,0,0
267.224,0,0,0
13.4562,0,0,0
61.3815,0,0,0
127.776,0,0,0
185.895,0,0,0
91.7483,0,0,0
338.615,0,0,0
65.4541,0,0,0
62.4462,0,0,0
61.9403,0,0,0
44.6796,0,0,0
8.86236,0,0,0
32.6699,0,0,0
136.326,0,0,0
290.253,0,0,0
385.641,0,0,0
56.3594,0,0,0
104.423,0,0,0
96.1317,0,0,0
230.367,0,0,0
14.8839,0,0,0
38.1088,0,0,0
3.64189,0,0,0
15.866,0,0,0
21.8405,0,0,0
417.099,0,0,0
31.4679,0,0,0
16.6377,0,0,0
82.8304,0,0,0
68.4749,0,0,0
128.162,0,0,0
59.8859,0,0,0
108.825,0,0,0
1.44686,0,0,0
45.4259,0,0,0
364.213,0,0,0
75.0301,0,0,0
41.1246,0,0,0
22.0413,0,0,0
17.7558,0,0,0
51.2202,0,0,0
22.6916,0,0,0
107.842,0,0,0
7.24122,0,0,0
275.12,0,0,0
26.5718,0,0,0
35.0071,0,0,0
117.356,0,0,0
63.2545,0,0,0
47.8342,0,0,0
72.3179,0,0,0
43.6988,0,0,0
69.8566,0,0,0
25.415,0,0,0
0.196061,0,0,0
19.689,0,0,0
40.7061,0,0,0
29.551,0,0,0
11.6106,0,0,0
65.4905,0,0,0
78.6399,0,0,0
69.576,0,0,0
95.4728,0,0,0
625.701,0,0,0
3.94651,0,0,0
40.4483,0,0,0
41.0913,0,0,0
131.072,0,0,0
251.996,0,0,0
61.7977,0,0,0
123.763,0,0,0
68.0667,0,0,0
28.9317,0,0,0
161.447,0,0,0
70.3108,0,0,0
64.0053,0,0,0
25.5371,0,0,0
283.18,0,0,0
54.0217,0,0,0
50.4445,0,0,0
134.884,0,0,0
17.4311,0,0,0
162.131,0,0,0
34.7801,0,0,0
1.19021,0,0,0
44.8861,0,0,0
17.572,0,0,0
22.6403,0,0,0
381.953,0,0,0
97.3646,0,0,0
1.28901,0,0,0
